Date,AAPL,AMZN,GOOG,META,MSFT,NIO,NVDA,RIVN,TSLA
2024-04-18,166.0372314,179.2200012,156.5295715,499.5916443,400.4717102,4,84.63731384,8.829999924,149.9299927
2024-04-19,164.009491,174.6300049,154.7998505,478.9528809,395.3701172,3.799999952,76.16968536,8.630000114,147.0500031
2024-04-22,164.8444366,177.2299957,157.0166626,479.6099854,397.1928101,4,79.48635864,8.789999962,142.0500031
2024-04-23,165.898056,179.5399933,158.9750214,493.9167175,403.7407532,4.010000229,82.39020538,9.039999962,144.6799927
2024-04-24,168.0053558,176.5899963,160.148056,491.3281555,405.2167358,4.150000095,79.64530182,8.840000153,162.1300049
2024-04-25,168.8701172,173.6699982,157.0166626,439.4375305,395.2908936,4.130000114,82.59912872,8.520000458,170.1799927
2024-04-26,168.2836609,179.6199951,172.663681,441.3391113,402.5024414,4.489999771,87.7000885,9.039999962,168.2899933
2024-04-29,172.4584656,180.9600067,166.9078674,430.7160645,398.4706726,4.599999905,87.72208405,9.380000114,194.0500031
2024-04-30,169.3074951,175,163.6671295,428.276886,385.6721191,4.71999979,86.36762238,8.899999619,183.2799988
2024-05-01,168.2836609,179,164.5916443,437.2571411,391.2293701,5.269999981,83.00794983,9.210000038,179.9900055
2024-05-02,171.991272,184.7200012,167.4645691,439.7362061,394.1021118,5.590000153,85.78285217,9.829999924,180.0099945
2024-05-03,182.2791595,186.2100067,167.9914551,449.9709778,402.8392639,5.570000172,88.75366974,10.06999969,181.1900024
2024-05-06,180.6191864,188.6999969,168.8264618,463.6306152,409.6546631,5.690000057,92.10333252,10.32999992,184.7599945
2024-05-07,181.3050079,188.7599945,171.9578552,466.1792908,405.4940796,5.510000229,90.51795959,10.25,177.8099976
2024-05-08,181.6429901,188,170.1486053,470.5201416,406.6828613,5.21999979,90.37602234,10.27000046,174.7200012
2024-05-09,183.4620056,189.5,170.5661316,473.3277588,408.446106,5.329999924,88.71169281,10.22000027,171.9700012
2024-05-10,182.197937,187.4799957,169.2837524,474.1042786,410.8433228,5.070000172,89.84223938,9.989999771,168.4700012
2024-05-13,185.4128723,186.5700073,169.890152,465.9503174,409.8329163,5.409999847,90.36302948,10.89999962,171.8899994
2024-05-14,186.5575104,187.0700073,170.9140472,469.7734375,412.6462708,5.789999962,91.31965637,11.18999958,177.5500031
2024-05-15,188.8368683,185.9900055,172.8525391,479.4207764,419.8609314,5.329999924,94.59233856,10.19999981,173.9900055
2024-05-16,188.9562988,183.6300049,174.3933716,471.1473999,417.7868347,5.260000229,94.32144928,10.13000011,174.8399963
2024-05-17,188.9861755,184.6999969,176.2423859,469.8331604,417.0127563,5.28000021,92.44219971,10.5,177.4600067
2024-05-20,190.1507263,183.5399933,177.4054871,466.7766418,422.1037598,5.21999979,94.74228668,10.27999973,174.9499969
2024-05-21,191.4546356,183.1499939,178.4790802,462.5852051,425.7755737,5.25,95.34804535,10.05000019,186.6000061
2024-05-22,190.0113678,183.1300049,176.9481812,465.7213135,427.2443542,5.239999771,94.91222382,10.69999981,180.1100006
2024-05-23,186.0101013,181.0500031,174.0255585,463.7301331,423.7510986,4.800000191,103.7577057,9.949999809,173.7400055
